DATE OF PICKS:,4/18/2019,4/26/2019,4/30/2019,5/22/2019,7/24/2019,8/9/2019,8/19/2019,9/3/2019,9/10/2019,9/17/2019,9/24/2019,10/1/2019,10/8/2019,10/15/2019,10/22/2019,10/29/2019,11/5/2019,11/12/2019,11/19/2019,11/26/2019,12/3/2019,12/10/2019,12/17/2019,12/24/2019,12/31/2019
Week 1: at NYJ,LOSS,LOSS,WIN,LOSS,LOSS,LOSS,WIN,WIN,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win,17-16 Win
Week 2: at NYG,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win,28-14 Win
Week 3: vs. CIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win,21-17 Win
Week 4: vs. NE,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss,16-10 Loss
Week 5: at TEN,WIN,WIN,WIN,WIN,WIN,LOSS,WIN,WIN,LOSS,WIN,WIN,WIN,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win,14-7 Win
Week 7: vs. MIA,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,31-21 Win,31-21 Win,31-21 Win,31-21 Win,31-21 Win,31-21 Win,31-21 Win,31-21 Win,31-21 Win,31-21 Win,31-21 Win
Week 8: vs. PHI,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,WIN,31-13 Loss,31-13 Loss,31-13 Loss,31-13 Loss,31-13 Loss,31-13 Loss,31-13 Loss,31-13 Loss,31-13 Loss,31-13 Loss
Week 9: vs. WSH,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,24-9 Win,24-9 Win,24-9 Win,24-9 Win,24-9 Win,24-9 Win,24-9 Win,24-9 Win,24-9 Win
Week 10: at CLE,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,LOSS,WIN,WIN,LOSS,LOSS,WIN,19-16 Loss,19-16 Loss,19-16 Loss,19-16 Loss,19-16 Loss,19-16 Loss,19-16 Loss,19-16 Loss
Week 11: at MIA,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,37-20 Win,37-20 Win,37-20 Win,37-20 Win,37-20 Win,37-20 Win,37-20 Win
Week 12: vs. DEN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,20-3 Win,20-3 Win,20-3 Win,20-3 Win,20-3 Win,20-3 Win
Week 13: at DAL (Thurs.),LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,26-15 Win,26-15 Win,26-15 Win,26-15 Win,26-15 Win
Week 14: vs. BAL,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,LOSS,LOSS,LOSS,WIN,WIN,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,24-17 Loss,24-17 Loss,24-17 Loss,24-17 Loss
Week 15: at PIT (SNF),LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,LOSS,WIN,WIN,WIN,WIN,17-10 Win,17-10 Win,17-10 Win
Week 16: at NE (Sat.),LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,LOSS,WIN,24-17 Loss,24-17 Loss
Week 17: vs. NYJ,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,13-6 Loss
