Team,5/11/2020,6/29/2020,7/27/2020,8/6/2020,9/8/2020,9/15/2020,9/22/2020,9/29/2020,10/6/2020,10/15/2020,10/23/2020,10/30/2020,11/3/2020,11/10/2020,11/17/2020,11/24/2020,12/1/2020,12/3/2020,12/10/2020,12/15/2020,12/22/2020,12/30/2022,1/5/2021
Week 1: vs. NYJ,WIN,WIN,WIN,WIN,WIN,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win
Week 2: at MIA,WIN,WIN,WIN,WIN,WIN,WIN,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win,31-28 Win
Week 3: vs. LAR,WIN,WIN,WIN,WIN,WIN,WIN,WIN,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win,35-32 Win
Week 4: at LV,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win,30-23 Win
Week 5: at TEN (Tue.),LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,LOSS,WIN,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss,42-16 Loss
Week 6: vs. KC (Mon.),LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss,26-17 Loss
Week 7: at NYJ,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,18-10 Win,18-10 Win,18-10 Win,18-10 Win,18-10 Win,18-10 Win,18-10 Win,18-10 Win,18-10 Win,18-10 Win,18-10 Win,18-10 Win
Week 8: vs. NE,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,24-21 Win,24-21 Win,24-21 Win,24-21 Win,24-21 Win,24-21 Win,24-21 Win,24-21 Win,24-21 Win,24-21 Win,24-21 Win
Week 9: vs. SEA,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,LOSS,LOSS,LOSS,LOSS,44-34 Win,44-34 Win,44-34 Win,44-34 Win,44-34 Win,44-34 Win,44-34 Win,44-34 Win,44-34 Win,44-34 Win
Week 10: at ARI,WIN,WIN,WIN,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,LOSS,LOSS,LOSS,WIN,32-30 Loss,32-30 Loss,32-30 Loss,32-30 Loss,32-30 Loss,32-30 Loss,32-30 Loss,32-30 Loss,32-30 Loss
Week 12: vs. LAC,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win,27-17 Win
Week 13: at SF (MNF),LOSS,LOSS,LOSS,LOSS,LOSS,WIN,LOSS,WIN,WIN,WIN,LOSS,LOSS,WIN,WIN,WIN,LOSS,LOSS,LOSS,34-24 Win,34-24 Win,34-24 Win,34-24 Win,34-24 Win
Week 14: vs. PIT (SNF),WIN,WIN,WIN,LOSS,WIN,LOSS,WIN,WIN,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,26-15 Win,26-15 Win,26-15 Win,26-15 Win
Week 15: at DEN (Sat.),WIN,WIN,WIN,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,WIN,48-19 Win,48-19 Win,48-19 Win
Week 16: at NE (MNF),WIN,LOSS,LOSS,WIN,WIN,WIN,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,38-9 Win,38-9 Win
Week 17: vs. MIA,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,LOSS,WIN,LOSS,WIN,WIN,WIN,WIN,WIN,LOSS,56-26 Win
