DATE OF PICKS:,5/13/2021,6/9/2021,7/27/2021,9/7/2021,9/14/2021,9/21/2021,9/28/2021,10/5/2021,10/12/2021,10/26/2021,11/2/2021,11/9/2021,11/16/2021,11/23/2021,11/30/2021,12/10/2021,12/14/2021,12/21/2021,12/28/2021,1/4/2022,1/11/2022
Week 1: vs. PIT,WIN,WIN,WIN,WIN,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss,23-16 Loss
Week 2: at MIA,WIN,WIN,WIN,WIN,WIN,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win,35-0 Win
Week 3: vs. WSH,WIN,WIN,WIN,WIN,WIN,WIN,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win,43-21 Win
Week 4: vs. HOU,WIN,WIN,WIN,WIN,WIN,WIN,WIN,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win,40-0 Win
Week 5: at KC (SNF),LOSS,LOSS,WIN,WIN,LOSS,LOSS,WIN,WIN,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win,38-20 Win
Week 6: at TEN (MNF),WIN,LOSS,LOSS,LOSS,WIN,WIN,LOSS,WIN,WIN,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss,34-31 Loss
Week 8: vs. MIA,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,26-11 Win,26-11 Win,26-11 Win,26-11 Win,26-11 Win,26-11 Win,26-11 Win,26-11 Win,26-11 Win,26-11 Win,26-11 Win
Week 9: at JAX,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,9-6 Loss,9-6 Loss,9-6 Loss,9-6 Loss,9-6 Loss,9-6 Loss,9-6 Loss,9-6 Loss,9-6 Loss,9-6 Loss
Week 10: at NYJ,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,45-17 Win,45-17 Win,45-17 Win,45-17 Win,45-17 Win,45-17 Win,45-17 Win,45-17 Win,45-17 Win
Week 11: vs. IND,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,LOSS,WIN,41-15 Loss,41-15 Loss,41-15 Loss,41-15 Loss,41-15 Loss,41-15 Loss,41-15 Loss,41-15 Loss
Week 12: at NO (TNF),WIN,LOSS,WIN,LOSS,LOSS,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,31-6 Win,31-6 Win,31-6 Win,31-6 Win,31-6 Win,31-6 Win,31-6 Win
Week 13: vs. NE (MNF),WIN,WIN,LOSS,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,14-10 Loss,14-10 Loss,14-10 Loss,14-10 Loss,14-10 Loss,14-10 Loss
Week 14: at TB,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,LOSS,WIN,LOSS,LOSS,LOSS,33-27 Loss (OT),33-27 Loss (OT),33-27 Loss (OT),33-27 Loss (OT),33-27 Loss (OT)
Week 15: vs. CAR,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,31-14 Win,31-14 Win,31-14 Win,31-14 Win
Week 16: at NE,WIN,WIN,WIN,WIN,LOSS,WIN,WIN,LOSS,WIN,WIN,LOSS,LOSS,LOSS,LOSS,WIN,WIN,WIN,HOWARD,33-21 Win,33-21 Win,33-21 Win
Week 17: vs. ATL,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,DIDN'T,WIN,29-15 Win,29-15 Win
Week 18: vs. NYJ,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,WIN,FULFILL,WIN,WIN,27-10 Win
