year,date_or_pick,date_of_game,season_week,future_opponent,day_of_week,bills_record,winning_percentage_going_in,opponent_record,opponent_winning_percentage_going_in,game_result,confidence_2weeks_before_game,confidence_value_2week_before,confidence_value_week_before,choice_week_before_game,confidence_value
2021,9/7/2021,9/12/2021,1,PIT,sunday,0-0,0,0-0,0,l,1.5,0.5,1,w,1.5
2021,9/14/2021,9/19/2021,2,MIA,sunday,0-1,0,Jan-00,1,w,2,1,1.5,w,2
2021,9/21/2021,9/26/2021,3,WSH,sunday,1-Jan,0.5,1-Jan,0.5,w,2.5,1.5,2,w,2.5
2021,9/28/2021,10/3/2021,4,HOU,sunday,1-Feb,0.67,2-Jan,0.33,w,3,2,2.5,w,3
2021,10/5/2021,10/10/2021,5,KC,snf,1-Mar,0.75,2-Feb,0.5,w,1,-0.833333333,0.142857143,w,1
2021,10/12/2021,10/18/2021,6,TEN,mnf,1-Apr,0.8,2-Mar,0.6,l,1.333333333,-0.428571429,0.5,w,1.333333333
2021,10/26/2021,10/31/2021,8,MIA,sunday,2-Apr,0.67,6-Jan,0.14,w,4.5,3.5,4,w,4.5
2021,11/2/2021,11/7/2021,9,JAX,sunday,2-May,0.71,6-Jan,0.14,l,5,4,4.5,w,5
2021,11/9/2021,11/14/2021,10,NYJ,sunday,3-May,0.63,6-Feb,0.25,w,5.5,4.5,5,w,5.5
2021,11/16/2021,11/21/2021,11,IND,sunday,3-Jun,0.67,5-May,0.5,l,4.307692308,5,3.666666667,w,4.307692308
2021,11/23/2021,11/25/2021,12, NO,thanksgiving,4-Jun,0.6,5-May,0.5,w,4.642857143,3.333333333,4,w,4.642857143
2021,11/30/2021,12/6/2021,13, NE,mnf,4-Jul,0.64,4-Aug,0.67,l,6.733333333,5.692307692,6.214285714,w,6.733333333
2021,12/10/2021,12/12/2021,14,TB,sunday,5-Jul,0.58,3-Sep,0.75,l,-6,-4.785714286,-5.4,l,-6
2021,12/14/2021,12/19/2021,15,CAR,sunday,6-Jul,0.54,8-May,0.38,w,8,7,7.5,w,8
2021,12/21/2021,12/26/2021,16,NE,sunday,6-Aug,0.57,5-Sep,0.64,,1.294117647,-0.6,0.375,,1.294117647
2021,12/28/2021,1/2/2022,17,ATL,sunday,6-Sep,0.6,8-Jul,0.47,w,8.5,7.5,8,w,8.5
2021,1/4/2022,1/9/2022,18,NYJ,sunday,6-Oct,0.63,12-Apr,0.25,w,9,8,8.5,w,9
